Episode: 1000 | time spent: 0:06:14 | dqn loss: 0.007 | overall rewards: 0.000/0.000 | game points: 0.000/0.000 | used steps: 50.000/50.000
Episode: 2000 | time spent: 0:15:48 | dqn loss: 0.004 | overall rewards: 0.005/0.002 | game points: 0.005/0.002 | used steps: 49.880/49.952
Episode: 3000 | time spent: 0:25:14 | dqn loss: 0.003 | overall rewards: 0.015/0.012 | game points: 0.015/0.012 | used steps: 49.685/49.734
Episode: 4000 | time spent: 0:34:52 | dqn loss: 0.002 | overall rewards: 0.020/0.010 | game points: 0.020/0.010 | used steps: 49.505/49.798
Episode: 5000 | time spent: 0:44:36 | dqn loss: 0.002 | overall rewards: 0.030/0.018 | game points: 0.030/0.018 | used steps: 49.585/49.640
Episode: 6000 | time spent: 0:54:24 | dqn loss: 0.002 | overall rewards: 0.035/0.024 | game points: 0.035/0.024 | used steps: 49.275/49.492
Episode: 7000 | time spent: 1:04:03 | dqn loss: 0.002 | overall rewards: 0.010/0.012 | game points: 0.010/0.012 | used steps: 49.725/49.666
Episode: 8000 | time spent: 1:13:38 | dqn loss: 0.002 | overall rewards: 0.035/0.022 | game points: 0.035/0.022 | used steps: 49.250/49.554
Episode: 9000 | time spent: 1:23:19 | dqn loss: 0.002 | overall rewards: 0.015/0.028 | game points: 0.015/0.028 | used steps: 49.625/49.292
Episode: 10000 | time spent: 1:32:57 | dqn loss: 0.002 | overall rewards: 0.025/0.020 | game points: 0.025/0.020 | used steps: 49.250/49.524
Episode: 11000 | time spent: 1:42:35 | dqn loss: 0.002 | overall rewards: 0.035/0.026 | game points: 0.035/0.026 | used steps: 49.030/49.246
Episode: 12000 | time spent: 1:52:24 | dqn loss: 0.002 | overall rewards: 0.010/0.008 | game points: 0.010/0.008 | used steps: 49.580/49.712
Episode: 13000 | time spent: 2:02:10 | dqn loss: 0.002 | overall rewards: 0.015/0.014 | game points: 0.015/0.014 | used steps: 49.740/49.570
Episode: 14000 | time spent: 2:11:46 | dqn loss: 0.002 | overall rewards: 0.025/0.028 | game points: 0.025/0.028 | used steps: 49.120/48.992
Episode: 15000 | time spent: 2:21:31 | dqn loss: 0.003 | overall rewards: 0.010/0.018 | game points: 0.010/0.018 | used steps: 49.640/49.664
Episode: 16000 | time spent: 2:31:10 | dqn loss: 0.003 | overall rewards: 0.015/0.020 | game points: 0.015/0.020 | used steps: 49.565/49.506
Episode: 17000 | time spent: 2:40:39 | dqn loss: 0.004 | overall rewards: 0.020/0.028 | game points: 0.020/0.028 | used steps: 49.450/49.246
Episode: 18000 | time spent: 2:50:28 | dqn loss: 0.004 | overall rewards: 0.020/0.018 | game points: 0.020/0.018 | used steps: 49.460/49.598
Episode: 19000 | time spent: 3:00:03 | dqn loss: 0.004 | overall rewards: 0.035/0.034 | game points: 0.035/0.034 | used steps: 49.035/49.078
Episode: 20000 | time spent: 3:09:53 | dqn loss: 0.005 | overall rewards: 0.035/0.038 | game points: 0.035/0.038 | used steps: 49.135/49.034
Episode: 21000 | time spent: 3:19:35 | dqn loss: 0.005 | overall rewards: 0.020/0.016 | game points: 0.020/0.016 | used steps: 49.390/49.622
Episode: 22000 | time spent: 3:29:17 | dqn loss: 0.005 | overall rewards: 0.030/0.030 | game points: 0.030/0.030 | used steps: 49.240/49.208
Episode: 23000 | time spent: 3:39:01 | dqn loss: 0.006 | overall rewards: 0.035/0.030 | game points: 0.035/0.030 | used steps: 49.130/49.274
Episode: 24000 | time spent: 3:48:34 | dqn loss: 0.006 | overall rewards: 0.015/0.014 | game points: 0.015/0.014 | used steps: 49.660/49.660
Episode: 25000 | time spent: 3:58:10 | dqn loss: 0.006 | overall rewards: 0.015/0.016 | game points: 0.015/0.016 | used steps: 49.430/49.558
Episode: 26000 | time spent: 4:08:01 | dqn loss: 0.006 | overall rewards: 0.010/0.026 | game points: 0.010/0.026 | used steps: 49.705/49.310
Episode: 27000 | time spent: 4:17:42 | dqn loss: 0.007 | overall rewards: 0.010/0.020 | game points: 0.010/0.020 | used steps: 49.840/49.462
Episode: 28000 | time spent: 4:27:18 | dqn loss: 0.007 | overall rewards: 0.015/0.022 | game points: 0.015/0.022 | used steps: 49.555/49.338
Episode: 29000 | time spent: 4:36:56 | dqn loss: 0.007 | overall rewards: 0.025/0.028 | game points: 0.025/0.028 | used steps: 49.165/49.224
Episode: 30000 | time spent: 4:46:35 | dqn loss: 0.007 | overall rewards: 0.015/0.020 | game points: 0.015/0.020 | used steps: 49.625/49.452
Episode: 31000 | time spent: 4:56:08 | dqn loss: 0.007 | overall rewards: 0.035/0.020 | game points: 0.035/0.020 | used steps: 48.890/49.438
Episode: 32000 | time spent: 5:05:49 | dqn loss: 0.007 | overall rewards: 0.005/0.014 | game points: 0.005/0.014 | used steps: 49.770/49.574
Episode: 33000 | time spent: 5:15:28 | dqn loss: 0.008 | overall rewards: 0.035/0.034 | game points: 0.035/0.034 | used steps: 49.300/48.976
Episode: 34000 | time spent: 5:25:09 | dqn loss: 0.008 | overall rewards: 0.020/0.016 | game points: 0.020/0.016 | used steps: 49.420/49.552
Episode: 35000 | time spent: 5:34:57 | dqn loss: 0.008 | overall rewards: 0.045/0.024 | game points: 0.045/0.024 | used steps: 48.675/49.204
Episode: 36000 | time spent: 5:44:41 | dqn loss: 0.008 | overall rewards: 0.025/0.024 | game points: 0.025/0.024 | used steps: 49.190/49.196
Episode: 37000 | time spent: 5:54:16 | dqn loss: 0.008 | overall rewards: 0.050/0.022 | game points: 0.050/0.022 | used steps: 48.460/49.376
Episode: 38000 | time spent: 6:03:52 | dqn loss: 0.008 | overall rewards: 0.020/0.018 | game points: 0.020/0.018 | used steps: 49.335/49.374
Episode: 39000 | time spent: 6:13:41 | dqn loss: 0.008 | overall rewards: 0.015/0.020 | game points: 0.015/0.020 | used steps: 49.315/49.324
Episode: 40000 | time spent: 6:23:13 | dqn loss: 0.008 | overall rewards: 0.030/0.026 | game points: 0.030/0.026 | used steps: 48.895/49.190
Episode: 41000 | time spent: 6:32:47 | dqn loss: 0.008 | overall rewards: 0.025/0.024 | game points: 0.025/0.024 | used steps: 49.360/49.298
Episode: 42000 | time spent: 6:42:22 | dqn loss: 0.009 | overall rewards: 0.040/0.024 | game points: 0.040/0.024 | used steps: 48.360/49.066
Episode: 43000 | time spent: 6:51:56 | dqn loss: 0.009 | overall rewards: 0.035/0.036 | game points: 0.035/0.036 | used steps: 49.020/49.000
Episode: 44000 | time spent: 7:01:29 | dqn loss: 0.009 | overall rewards: 0.025/0.030 | game points: 0.025/0.030 | used steps: 49.355/49.072
Episode: 45000 | time spent: 7:11:16 | dqn loss: 0.009 | overall rewards: 0.015/0.026 | game points: 0.015/0.026 | used steps: 49.410/49.264
Episode: 46000 | time spent: 7:20:47 | dqn loss: 0.009 | overall rewards: 0.025/0.024 | game points: 0.025/0.024 | used steps: 49.120/49.214
Episode: 47000 | time spent: 7:30:31 | dqn loss: 0.009 | overall rewards: 0.000/0.018 | game points: 0.000/0.018 | used steps: 50.000/49.486
Episode: 48000 | time spent: 7:40:07 | dqn loss: 0.010 | overall rewards: 0.035/0.026 | game points: 0.035/0.026 | used steps: 48.780/49.096
Episode: 49000 | time spent: 7:49:50 | dqn loss: 0.010 | overall rewards: 0.030/0.022 | game points: 0.030/0.022 | used steps: 48.730/49.302
Episode: 50000 | time spent: 7:59:33 | dqn loss: 0.010 | overall rewards: 0.010/0.006 | game points: 0.010/0.006 | used steps: 49.875/49.874
